year,name,rank,citizenship,countrycode,networthusbillion,selfmade,typeofwealth,gender,age,industry,IndustryAggregates,region,north,politicalconnection,founder,generationofinheritance,sector,company,companytype,relationshiptocompany,foundingdate,gdpcurrentus,sourceofwealth,notes,notes2,source,source_2,source_3,source_4
1996,Bill Gates,1,United States,USA,18.5,self-made,founder non-finance,male,40,Technology-Computer,New Sectors,North America,1,,1,0, Software,Microsoft,new,founder,1975,8.10E+12,,,,http://www.forbes.com/profile/bill-gates/,,,
2001,Bill Gates,1,United States,USA,58.7,self-made,founder non-finance,male,45,Technology-Computer,New Sectors,North America,1,,1,0, Software,Microsoft,new,founder,1975,1.06E+13,,,,http://www.forbes.com/profile/bill-gates/,,,
2014,Bill Gates,1,United States,USA,76,self-made,founder non-finance,male,58,Technology-Computer,New Sectors,North America,1,,1,0, Software,Microsoft,new,founder,1975,,Microsoft,,,http://www.forbes.com/profile/bill-gates/,,,
2014,Carlos Slim Helu,2,Mexico,MEX,72,self-made,privatized and resources,male,74,Media,Non-Traded Sectors,Latin America,0,,1,0, Communications,Telmex,privatization,founder,1990,,telecom,,,http://www.ozy.com/provocateurs/carlos-slims-worldwide-portfolio/62341,,,
1996,Warren Buffett,2,United States,USA,15,self-made,founder non-finance,male,65,Consumer,Traded Sectors,North America,1,,1,0, Finance,Berkshire Hathaway,new,founder,1962,8.10E+12,,,,http://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Warren-Buffett_C0R3.html,http://www.forbes.com/companies/berkshire-hathaway/,,
2001,Warren Buffett,2,United States,USA,32.3,self-made,founder non-finance,male,70,Consumer,Traded Sectors,North America,1,,1,0, Finance,Berkshire Hathaway,new,founder,1962,1.06E+13,,,,http://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Warren-Buffett_C0R3.html,http://www.forbes.com/companies/berkshire-hathaway/,,
2014,Amancio Ortega,3,Spain,ESP,64,self-made,founder non-finance,male,77,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,1,0,Fashion,Zara,new,founder,1975,,retail,,,http://www.forbes.com/profile/amancio-ortega/,,,
1996,Oeri Hoffman and Sacher,3,Switzerland,CHE,13.1,inherited,inherited,,0,Technology-Medical,New Sectors,Europe,1,,0,Third generation,pharmaceuticals,F. Hoffmann-La Roche,new,,1896,3.30E+11,,3rd generation,,http://fr.wikipedia.org/wiki/Hoffmann-La_Roche,http://fr.wikipedia.org/wiki/Hoffmann-Oeri,,
2001,Paul Allen,3,United States,USA,30.4,self-made,founder non-finance,male,48,Technology-Computer,New Sectors,North America,1,,1,0,technology,Microsoft,new,founder,1975,1.06E+13,,,,http://en.wikipedia.org/wiki/Paul_Allen,http://www.businessinsider.com/paul-allen-real-estate-portfolio-2016-1,,
2001,Larry Ellison,4,United States,USA,26,self-made,founder non-finance,male,56,Technology-Computer,New Sectors,North America,1,,1,0, software,Oracle, new,founder,1977,1.06E+13,,,,http://www.forbes.com/profile/larry-ellison/,http://www.businessinsider.com/how-larry-ellison-treats-his-star-employees-2016-1,,
1996,Lee Shau Kee,4,Hong Kong,HKG,12.7,self-made,self-made finance,male,68,Real Estate,Financial,East Asia,0,,1,0,real estate,Henderson Land Development,new,founder/chairman,1976,1.60E+11,,,,http://en.wikipedia.org/wiki/Lee_Shau-kee,http://www.hld.com/en/about/profile.shtml,,
2014,Warren Buffett,4,United States,USA,58.2,self-made,founder non-finance,male,83,Consumer,Traded Sectors,North America,1,,1,0, Finance,Berkshire Hathaway,aquired,founder,1839,,Berkshire Hathaway,,,http://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Warren-Buffett_C0R3.html,http://www.forbes.com/companies/berkshire-hathaway/,,
2014,Larry Ellison,5,United States,USA,48,self-made,founder non-finance,male,69,Technology-Computer,New Sectors,North America,1,,1,0, software,Oracle, new,founder,1977,,Oracle,,,http://www.forbes.com/profile/larry-ellison/,http://www.businessinsider.com/how-larry-ellison-treats-his-star-employees-2016-1,,
2001,Theo and Karl Albrecht,5,Germany,DEU,25,self-made,founder non-finance,male,,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,1,0,groceries,Aldi,new,founder,1913,1.95E+12,,inherited single store from mother,,http://www.forbes.com/profile/theo-albrecht-jr/,,,
1996,Tsai Wan-lin,5,Taiwan,Taiwan,12.2,self-made,self-made finance,male,71,Hedge funds,Financial,East Asia,0,,1,0,banking and insurance,Lin Yuan Group,new,founder,1962,,,,,http://en.wikipedia.org/wiki/Tsai_Wan-lin,"Tsai Wan-lin Billionaire ranked the world's 94th richest man whose greatest business rival was his own younger brother THE DAILY TELEGRAPH(LONDON) October 14, 2004, Thursday",,
2014,Charles Koch,6,United States,USA,40,inherited,inherited,male,78,Diversified financial,Financial,North America,1,,0,inherited from father,  Oil refining,Koch industries,new,relation,1940,,diversified,inherited from father,,http://www.kochind.com/About_Koch/History_Timeline.aspx,,,
2014,David Koch,6,United States,USA,40,inherited,inherited,male,73,Diversified financial,Financial,North America,1,,0,inherited from father, Oil refining,Koch industries,new,relation,1940,,diversified,inherited from father,,http://www.kochind.com/About_Koch/History_Timeline.aspx,,,
2001,Prince Alwaleed Bin Talal Alsaud,6,Saudi Arabia,SAU,20,self-made,privatized and resources,male,44,Money Management,Financial,Middle East/North Africa,0,1,1,0,construction/real estate/banking,Kingdom Holding Company,new,founder,1980,1.83E+11,,member of Saudi Royal family,,http://www.kingdom.com.sa/about-us/history,"Murdoch's saviour: a rich prince Australian Financial Review December 23, 2004 Thursday",,
1996,Walter Thomas and Raymond Kwok,6,Hong Kong,HKG,11.2,inherited,inherited,male,0,Real Estate,Financial,East Asia,0,,0,inherited from father,real estate,Sun Hung Kai Properties,new,Relation,1963,1.60E+11,,inherited from father,,http://en.wikipedia.org/wiki/Walter_Kwok,,,
2001,Jim Walton,7,United States,USA,18.8,inherited,inherited,male,53,"Retail, Restaurant",Non-Traded Sectors,North America,1,,0,inherited from father,retail,Walmart, new,relation,1962,1.06E+13,,inherited from father,CEO/chair Arvest Bank Group,http://www.forbes.com/profile/jim-walton/,,,
1996,Li Ka-shing,7,Hong Kong,HKG,10.6,self-made,self-made finance,male,67,Real Estate,Financial,East Asia,0,,1,0,real estate,Cheung king,new,founder,1971,1.60E+11,,(Made money because real estate price fell after riots),,http://www.ckh.com.hk/en/about/chairman.php,,,
2001,John Walton,8,United States,USA,18.7,inherited,inherited,male,55,Consumer,Traded Sectors,North America,1,,0,inherited from father, retail,Walmart, new,relation,1962,1.06E+13,,inherited from father,,http://www.foxnews.com/story/2005/06/28/wal-mart-heir-dies-in-plane-crash.html,,,
2014,Sheldon Adelson,8,United States,USA,38,self-made,self-made finance,male,80,Real Estate,Financial,North America,1,,1,0, casinos,Las Vegas Sands, acquired,founder,1952,,casinos,,,http://www.forbes.com/profile/sheldon-adelson/,http://lasvegassun.com/news/1996/nov/26/rat-pack-made-sands-the-place/?framing=history,,
1996,Yoshiaki Tsutsumi,8,Japan,JPN,9.2,inherited,inherited,male,61,Real Estate,Financial,East Asia,1,,0,inherited from father,real estate,Seibu Corporation,aquired,relation,1894,4.71E+12,,inherited from father,Tsutsumi was arrested on suspicion of violation of securities trading law. Tsutsumi pleaded guilty,http://en.wikipedia.org/wiki/Yoshiaki_Tsutsumi,,,
2014,Christy Walton,9,United States,USA,36.7,inherited,inherited,female,59,"Retail, Restaurant",Non-Traded Sectors,North America,1,,0,spouse or widow, retail,Walmart, new,relation,1962,,Wal-Mart,widow,,http://www.forbes.com/profile/christy-walton/,,,
2001,S Robson Walton,9,United States,USA,18.6,inherited,inherited,male,57,"Retail, Restaurant",Non-Traded Sectors,North America,1,,0,inherited from father,retail,Walmart, new,relation,1962,1.06E+13,,inherited from father,chairman walmart,http://www.forbes.com/profile/s-robson-walton/,,,
1996,Theo and Karl Albrecht,9,Germany,DEU,9,inherited,inherited,male,0,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,0,inherited from father,groceries,Aldi Nord,new,Relation,1913,2.50E+12,,inherited from father,,http://www.forbes.com/profile/theo-albrecht-jr/,,,
2001,Alice Walton,10,United States,USA,18.5,inherited,inherited,female,52,"Retail, Restaurant",Non-Traded Sectors,North America,1,,0,inherited from father,retail,Walmart, new,relation,1962,1.06E+13,,inherited from father,not involved in company,http://www.forbes.com/profile/nancy-walton-laurie/,,,
1996,Hans and Gad Rausing,10,Sweden,SWE,9,inherited,inherited,male,0,Consumer,Traded Sectors,Europe,1,,0,inherited from father,food packaging,Tetra Pak,new,relation,1951,2.88E+11,,inherited from father,,http://en.wikipedia.org/wiki/Hans_Rausing,"G2: The fall of the house of Rausing: The discovery of Eva Rausing's dead body at her home in Chelsea this week, and her husband's arrest for drug possession, are just the latest episodes in a grim saga. Stuart Jeffries reports on the troubles of the family that built an empire worth billions on a humble drinks carton The Guardian - Final Edition July 12, 2012 Thursday",,
2001,Helen Walton,10,United States,USA,18.5,inherited,inherited,female,81,Consumer,Traded Sectors,North America,1,,0,spouse or widow,retail,Walmart, new,relation,1962,1.06E+13,,widow,,en.wikipedia.org/wiki/Helen_Walton,http://www.nytimes.com/2007/04/21/business/21walton.html,,
2014,Jim Walton,10,United States,USA,34.7,inherited,inherited,male,66,"Retail, Restaurant",Non-Traded Sectors,North America,1,,0,inherited from father,retail,Walmart, new,relation,1962,,Wal-Mart,inherited from father,,http://www.forbes.com/profile/jim-walton/,,,
1996,Johanna Quandt,11,Germany,DEU,8.1,inherited,inherited,female,68,Consumer,Traded Sectors,Europe,1,,0,spouse or widow,cars,BMW,new,relation,1916,2.50E+12,,widow,,http://en.wikipedia.org/wiki/Stefan_Quandt,,,
2014,Liliane Bettencourt,11,France,FRA,34.5,inherited,inherited,female,91,Consumer,Traded Sectors,Europe,1,,0,inherited from father,cosmetics,L'Oreal,new,relation,1909,,L'Oreal,inherited from father,,http://www.forbes.com/profile/liliane-bettencourt/,,,
1996,Haniel family,12,Germany,DEU,8.1,inherited,inherited,,0,Diversified financial,Financial,Europe,1,,0,0,,Franz Haniel & Cie,new,,1756,2.50E+12,,,,http://en.wikipedia.org/wiki/Franz_Haniel_%26_Cie.,,,
2001,Johanna Quandt,12,Germany,DEU,17.8,inherited,inherited,female,73,Consumer,Traded Sectors,Europe,1,,0,spouse or widow,cars,BMW,new,relation,1916,1.95E+12,,widow,,http://en.wikipedia.org/wiki/Stefan_Quandt,,,
2014,Stefan Persson,12,Sweden,SWE,34.4,inherited,inherited,male,66,Consumer,Traded Sectors,Europe,1,,0,inherited from father, fashion, H&M, new,relation,1947,,H&M,inherited from father,,http://www.forbes.com/profile/stefan-persson/,,,
2014,Alice Walton,13,United States,USA,34.3,inherited,inherited,female,64,"Retail, Restaurant",Non-Traded Sectors,North America,1,,0,inherited from father,retail,Walmart, new,relation,1962,,Wal-Mart,inherited from father,,http://www.forbes.com/profile/nancy-walton-laurie/,,,
1996,Paul Allen,13,United States,USA,7.5,self-made,founder non-finance,male,43,Technology-Computer,New Sectors,North America,1,,1,0,technology,Microsoft,new,founder,1975,8.10E+12,,,,http://en.wikipedia.org/wiki/Paul_Allen,http://www.businessinsider.com/paul-allen-real-estate-portfolio-2016-1,,
2001,Steven Ballmer,13,United States,USA,16.6,self-made,executive,male,44,Technology-Computer,New Sectors,North America,1,,0,0,technology,Microsoft,new,CEO,1975,1.06E+13,,,,http://www.bloomberg.com/news/articles/2015-12-02/microsoft-should-disclose-cloud-revenue-margins-ballmer-says,,,
1996,Kenneth Thomson,14,Canada,CAN,7.4,inherited,inherited,male,72,Media,Non-Traded Sectors,North America,1,,0,inherited from father,media,Thomson Corporation (now Thomson Reuters),acquired,relation,1934,6.27E+11,,inherited from father,,"http://en.wikipedia.org/wiki/Kenneth_Thomson,_2nd_Baron_Thomson_of_Fleet",,,
2001,Kenneth Thomson,14,Canada,CAN,16.4,inherited,inherited,male,77,Media,Non-Traded Sectors,North America,1,,0,inherited from father,media,Thomson Corporation (now Thomson Reuters),acquired,relation,1934,7.33E+11,,inherited from father,,"http://en.wikipedia.org/wiki/Kenneth_Thomson,_2nd_Baron_Thomson_of_Fleet",,,
2014,S. Robson Walton,14,United States,USA,34.2,inherited,inherited,male,70,"Retail, Restaurant",Non-Traded Sectors,North America,1,,0,inherited from father,retail,Walmart, new,relation,1962,,Wal-Mart,inherited from father,,http://www.forbes.com/profile/s-robson-walton/,,,
2014,Bernard Arnault,15,France,FRA,33.5,self-made,founder non-finance,male,64,Consumer,Traded Sectors,Europe,1,,1,0,luxury goods,LVMH,acquired,founder,1987,,LVMH,,,http://www.forbes.com/profile/bernard-arnault/,http://www.lvmh.com/group/milestones/1593-to-the-present/,,
1996,John Kluge,15,United States,USA,7.2,self-made,executive,male,81,Media,Non-Traded Sectors,North America,1,,0,0,media,Metropolitan Broadcasting Corporation,new,chairman,1956,8.10E+12,,,,http://en.wikipedia.org/wiki/John_Kluge,http://en.wikipedia.org/wiki/Metromedia,"Charlottesville's Web;Posh, Polo & Shabby Chic The Washington Post July 22, 1990, Sunday, Final Edition",
2001,Liliane Bettencourt,15,France,FRA,15.6,inherited,inherited,female,78,Consumer,Traded Sectors,Europe,1,,0,inherited from father,cosmetics,L'Oreal,new,relation,1909,1.38E+12,,inherited from father,only child,http://www.forbes.com/profile/liliane-bettencourt/,,,
2014,Michael Bloomberg,16,United States,USA,33,self-made,founder non-finance,male,72,Media,Non-Traded Sectors,North America,1,,1,0, finance,Bloomberg, new,founder,1981,,Bloomberg LP,,,http://www.bloomberg.com/company/bloomberg-facts/?utm_source=bloomberg-menu,,,
2001,Philip Anschutz,16,United States,USA,15.3,self-made,self-made finance,male,61,Money Management,Financial,North America,1,,0,0,"oil, railroad, investments",Circle A Drilling,aquired,investor,1961,1.06E+13,,,,http://en.wikipedia.org/wiki/Philip_Anschutz,"Spotlight closes in on media-shy billionaire; Philip Anschutz, who is zealous about privacy, may testify in two high-profile trials. Los Angeles Times April 5, 2007 Thursday Correction Appended",,
1996,Tan Yu,16,Philippines,PHL,7,self-made,self-made finance,male,0,Real Estate,Financial,East Asia,0,,1,0,real estate,Asiaworld Internationale Group,new,founder,1972,82848194406,,,,http://en.wikipedia.org/wiki/Tan_Yu,"Taipan dumps island resort plans to go after gas The Australian January 24, 2000, Monday",,
2001,Ingvar Kamprad,17,Sweden,SWE,13,self-made,founder non-finance,male,74,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,1,0,furniture,IKEA,new,founder,1943,2.40E+11,,,,"IKEA through the years The Ottawa Citizen February 6, 2000, Sunday, FINAL",,,
2014,Larry Page,17,United States,USA,32.3,self-made,founder non-finance,male,40,Technology-Computer,New Sectors,North America,1,,1,0, technology,Google, new,founder,1998,,Google,,,http://www.forbes.com/profile/larry-page/,http://www.businessinsider.com/larry-page-the-untold-story-2014-4,,
1996,Wonowidjojo family,17,Indonesia,IDN,6.7,inherited,inherited,,0,Consumer,Traded Sectors,East Asia,0,,0,0,cigarettes,Gudang Garam,new,,1958,2.27E+11,,,,http://en.wikipedia.org/wiki/Susilo_Wonowidjojo,,,
1996,Carlos Slim Helu,18,Mexico,MEX,6.1,self-made,privatized and resources,male,56,Media,Non-Traded Sectors,Latin America,0,,1,0, Communications,Telmex,privatization,founder,1990,3.97E+11,,,,http://www.ozy.com/provocateurs/carlos-slims-worldwide-portfolio/62341,,,
2014,Jeff Bezos,18,United States,USA,32,self-made,founder non-finance,male,50,"Retail, Restaurant",Non-Traded Sectors,North America,1,,1,0, technology,Amazon, new,founder,1995,,Amazon.com,,,http://www.businessinsider.com/amazon-jeff-bezos-facts-story-history-2014-5,,,
2001,Li Ka-shing,18,Hong Kong,HKG,12.6,self-made,self-made finance,male,72,Real Estate,Financial,East Asia,0,,1,0,real estate,Cheung king,new,founder,1971,1.69E+11,,(Made money because real estate price fell after riots),,http://www.ckh.com.hk/en/about/chairman.php,,,
2001,Sumner Redstone,18,United States,USA,12.6,inherited,inherited,male,77,Media,Non-Traded Sectors,North America,1,,0,inherited from father,media,National Amusements,new,relation,1936,1.06E+13,,inherited from father,"daughter owns 20% share, president of company (also has a son)\",http://en.wikipedia.org/wiki/National_Amusements,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=846508,"Redstones' family feud cools off; Shari Redstone named chairman of Midway Games with blessing of her father, Sumner Chicago Tribune December 22, 2007 Saturday",
1996,Larry Ellison,19,United States,USA,6,self-made,founder non-finance,male,51,Technology-Computer,New Sectors,North America,1,,1,0, software,Oracle, new,founder,1977,8.10E+12,,,,http://www.forbes.com/profile/larry-ellison/,http://www.businessinsider.com/how-larry-ellison-treats-his-star-employees-2016-1,,
2014,Sergey Brin,19,United States,USA,31.8,self-made,founder non-finance,male,40,Technology-Computer,New Sectors,North America,1,,1,0, technology,Google, new,founder,1998,,Google,,,http://www.forbes.com/profile/larry-page/,,,
1996,Chung Ju-yung,20,South Korea,KOR,5.9,self-made,self-made finance,male,0,Diversified financial,Financial,East Asia,1,,1,0,cars,Hyundai Group,new,founder,1946,6.03E+11,,,,http://en.wikipedia.org/wiki/Chung_Ju-yung#Creation_of_Hyundai,,,
2001,Leo Kirch,20,Germany,DEU,12,self-made,founder non-finance,male,,Media,Non-Traded Sectors,Europe,1,,1,0,media,Kirch Group,new,founder,1956,1.95E+12,,collapsed in 2002,,http://en.wikipedia.org/wiki/Leo_Kirch,http://en.wikipedia.org/wiki/Kirch_Group,http://dealbook.nytimes.com/2014/02/20/deutsche-bank-to-pay-1-06-billion-to-settle-long-running-litigation/,
2014,Li Ka-shing,20,Hong Kong,HKG,31,self-made,self-made finance,male,85,Diversified financial,Financial,East Asia,0,,1,0,real estate,Cheung Kong,new,founder,1950,,diversified,(Made money because real estate price fell after riots),,http://www.ckh.com.hk/en/about/chairman.php,,,
2001,Anne Cox Chambers,21,United States,USA,11.7,inherited,inherited,female,81,Media,Non-Traded Sectors,North America,1,,0,inherited from father,media,Cox Enterprises,aquired,relation,1898,1.06E+13,,inherited from brother,"primary owner, since the death of her brother, she and sister took over the company",http://en.wikipedia.org/wiki/Anne_Cox_Chambers,http://www.forbes.com/lists/2010/10/billionaires-2010_Anne-Cox-Chambers_OR0X.html,http://www.nytimes.com/2007/05/30/business/media/30anthony.html?_r=0,
2001,Barbara Cox Anthony,21,United States,USA,11.7,inherited,inherited,female,77,Media,Non-Traded Sectors,North America,1,,0,inherited from father,media,Cox Enterprises,aquired,relation,1898,1.06E+13,,inherited from father,,http://en.wikipedia.org/wiki/Barbara_Cox_Anthony,http://en.wikipedia.org/wiki/Cox_Enterprises,http://www.nytimes.com/2007/05/30/business/media/30anthony.html?_r=0,
1996,Gerard Mulliez,21,France,FRA,5.7,self-made,founder non-finance,male,0,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,1,0,retail,Auchan,new,founder,1961,1.61E+12,,,,http://en.wikipedia.org/wiki/G%C3%A9rard_Mulliez,http://en.wikipedia.org/wiki/Auchan,,
2014,Mark Zuckerberg,21,United States,USA,28.5,self-made,founder non-finance,male,29,Technology-Computer,New Sectors,North America,1,,1,0, technology, Facebook, new,founder,2004,,Facebook,,,http://www.forbes.com/profile/mark-zuckerberg/,,,
2014,Michele Ferrero,22,Italy,ITA,26.5,self-made,executive,male,88,Consumer,Traded Sectors,Europe,1,,0,0,chocolates,Ferrero spa,new,relation,1946,,chocolates,relauched father's initial recepie for  hazelnut spread as Nutella,,http://en.wikipedia.org/wiki/Ferrero_SpA,http://www.bbc.com/news/business-31477547,,
1996,Robert Kuok,22,Malaysia,MYS,5.7,self-made,self-made finance,male,73,Money Management,Financial,East Asia,0,,0,0,oil,Tana Exploration Company,new,relation,1980,1.01E+11,,joined firm in 1981,,,"Atop an empire, unfazed about what's next The Washington Post March 3, 2013 Sunday",,
2014,Aliko Dangote,23,Nigeria,NGA,25,self-made,founder non-finance,male,56,Constrution,Non-Traded Sectors,Sub-Saharan Africa,0,,1,0,"commodities (sugar, cement flour)",Dangote Group,new,founder and CEO,1981,,"cement, sugar, flour",,,http://en.wikipedia.org/wiki/Aliko_Dangote,http://www.nigerianobservernews.com/2014/12/23/who-is-a-wealthy-man-the-aliko-dangote-story/#sthash.3WTSbqe9.btnMk8lZ.dpbs,,
2014,Karl Albrecht,23,Germany,DEU,25,self-made,executive,male,94,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,0,0,groceries,Aldi Sud,new,relation,1914,,retail,"(split from Aldi Nord in 1966, but both branches have billionaires on the list)",took over mother's single grocerty store,http://en.wikipedia.org/wiki/Karl_Albrecht,http://www.bloomberg.com/news/articles/2014-07-21/karl-albrecht-billionaire-co-founder-of-aldi-stores-dies-at-94,http://aldiuscareers.com/about-aldi/history,
1996,Kwek Leng Beng,23,Singapore,SGP,5.7,inherited,inherited,male,55,Diversified financial,Financial,East Asia,0,,0,inherited from father,banking,Hong Leong Group,new,relation,1948,96400967339,,inherited from father,,http://en.wikipedia.org/wiki/Kwek_Leng_Beng,http://www.hongleong.com.sg/about-us/history-and-milestones,,
2001,Walter Thomas and Raymond Kwok,23,Hong Kong,HKG,11.5,inherited,inherited,male,,Real Estate,Financial,East Asia,0,,0,inherited from father,real estate,Sun Hung Kai Properties,new,Relation,1963,1.69E+11,,inherited from father,,http://en.wikipedia.org/wiki/Walter_Kwok,,,
1996,Cheng Yu-tung,24,Hong Kong,HKG,5.5,inherited,inherited,male,70,Real Estate,Financial,East Asia,0,,0,inherited from father,real estate,Chow Tai Fook Enterprises,new,relation,1929,1.60E+11,,inherited from father-in-law,"at least two stores, on in HK, on in Macao when he inherited",http://www.forbes.com/profile/cheng-yu-tung/,,http://en.wikipedia.org/wiki/Chow_Chi_Yuen,
2001,John Kluge,24,United States,USA,10.9,self-made,executive,male,86,Media,Non-Traded Sectors,North America,1,,0,0,media,Metropolitan Broadcasting Corporation,new,chairman,1956,1.06E+13,,,,http://en.wikipedia.org/wiki/John_Kluge,http://en.wikipedia.org/wiki/Metromedia,"Charlottesville's Web;Posh, Polo & Shabby Chic The Washington Post July 22, 1990, Sunday, Final Edition",
2014,Carl Icahn,25,United States,USA,24.5,self-made,self-made finance,male,78,Diversified financial,Financial,North America,1,,1,0,investment (via holding company),Icahn Enterprises,new,founder,1968,,investments,,,http://en.wikipedia.org/wiki/Carl_Icahn,http://www.bloomberg.com/research/stocks/private/person.asp?personId=250594&privcapId=4185684,,
2001,Carlos Slim Helu,25,Mexico,MEX,10.8,self-made,privatized and resources,male,61,Media,Non-Traded Sectors,Latin America,0,,1,0, Communications,Telmex,privatization,founder,1990,7.25E+11,,,,http://www.ozy.com/provocateurs/carlos-slims-worldwide-portfolio/62341,,,
1996,Walter Haefner,25,Switzerland,CHE,5.5,self-made,founder non-finance,male,85,Technology-Computer,New Sectors,Europe,1,,1,0,computer services,Automation Center,new,founder,1957,3.30E+11,,,,http://en.wikipedia.org/wiki/Walter_Haefner,http://www.bloomberg.com/news/articles/2012-06-27/walter-haefner-world-s-oldest-billionaire-dies-at-101-1-,,
2001,Bernard Arnault,26,France,FRA,10.7,self-made,founder non-finance,male,52,Consumer,Traded Sectors,Europe,1,,1,0,luxury goods,LVMH,acquired,founder,1981,1.38E+12,,,,http://www.forbes.com/profile/bernard-arnault/,http://www.lvmh.com/group/milestones/1593-to-the-present/,,
2014,George Soros,26,United States,USA,23,self-made,self-made finance,male,83,Hedge funds,Financial,North America,1,,1,0,hedge funds,Soros Fund Management,new,founder,1969,,hedge funds,"(made money by speculating against pound during ""black Wednesday"" in 1992 and during 1997 Asian Financial crisis)",,http://en.wikipedia.org/wiki/George_Soros,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=1501285,,
1996,Philip Knight,26,United States,USA,5.3,self-made,founder non-finance,male,58,Consumer,Traded Sectors,North America,1,,1,0,apparel,Nike,new,founder,1964,8.10E+12,,,,,http://www.usatoday.com/story/sports/2015/09/30/phil-knight-nike-michael-jordan-stepping-down-2016/72885302/,,
2014,David Thomson,27,Canada,CAN,22.6,inherited,inherited,male,56,Media,Non-Traded Sectors,North America,1,,0,inherited from father,media,Thomson Corporation (now Thomson Reuters),acquired,relation,1934,,media,inherited from father,oldest son,"http://en.wikipedia.org/wiki/David_Thomson,_3rd_Baron_Thomson_of_Fleet",http://www.forbes.com/profile/david-thomson/,,
2001,Ernesto Bertarelli,27,Switzerland,CHE,10.5,inherited,inherited,male,35,Technology-Medical,New Sectors,Europe,1,,0,Third generation,pharmaceuticals,Serono,new,relation,1906,2.79E+11,,3rd generation,"inherited along with sister, who isn't on the list",http://en.wikipedia.org/wiki/Ernesto_Bertarelli,http://www.forbes.com/profile/ernesto-bertarelli/,http://www.emdserono.com/en/about_us/history/History.html,
2001,Michael Dell,27,United States,USA,10.5,self-made,founder non-finance,male,36,Technology-Computer,New Sectors,North America,1,,1,0,technology,Dell,new,founder,1984,1.06E+13,,,,http://en.wikipedia.org/wiki/Michael_Dell,http://www.forbes.com/profile/michael-dell/,"Carl Icahn ends takeover battle for PC maker Dell The New Zealand Herald September 10, 2013 Tuesday",
1996,Michael Otto,27,Germany,DEU,5.2,inherited,inherited,male,52,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,0,inherited from father,mail order retail,Otto Group,new,relation,1950,2.50E+12,,inherited from father,has sisters,http://en.wikipedia.org/wiki/Michael_Otto_(businessman),http://www.forbes.com/profile/michael-otto/,http://www.dw.com/en/german-retail-pioneer-werner-otto-turns-100/a-4559607,
1996,Fong Teng,28,Hong Kong,HKG,5.2,inherited,inherited,male,0,Consumer,Traded Sectors,East Asia,0,,0,inherited from father,real estate,Sino Group,new,relation,1970,1.60E+11,,inherited from father,,http://en.wikipedia.org/wiki/Ng_Teng_Fong,,,
2014,Lui Che Woo,28,Hong Kong,HKG,22,self-made,self-made finance,male,84,Real Estate,Financial,East Asia,0,,1,0,"construction, hotels, gaming",K. Wah Group,new,founder/chairman,1955,,casinos,,,http://www.ft.com/intl/cms/s/0/492a829c-94a8-11e3-9146-00144feab7de.html#axzz3xubqFP4f,http://www.kwah.com/aboutus_process.php?lang=en,,
2014,Dieter Schwarz,29,Germany,DEU,21.1,inherited,inherited,male,74,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,0,inherited from father,groceries,Schwarz Group,new,relation,1930,,retail,inherited from father,,http://www.forbes.com/profile/dieter-schwarz/,,,
1996,Robert and Ten Fong Ng,29,Hong Kong,HKG,5.2,inherited,inherited,male,0,Real Estate,Financial,East Asia,0,,0,inherited from father,real estate,Sino Group,new,relation,1970,1.60E+11,,inherited from father,,http://www.forbes.com/profile/robert-philip-ng/,,,
2001,Silvio Berlusconi,29,Italy,ITA,10.3,self-made,privatized and resources,male,64,Media,Non-Traded Sectors,Europe,1,,1,0,media,Fininvest,new,founder,1978,1.16E+12,,,,http://en.wikipedia.org/wiki/Silvio_Berlusconi#Business_career,http://www.bbc.com/news/world-europe-11981754,,
2001,Abigail Johnson,30,United States,USA,9.1,inherited,inherited,female,39,Money Management,Financial,North America,1,,0,Third generation,investment banking,Fidelity Investments,new,relation,1946,1.06E+13,,3rd generation,no male siblings,"http://en.wikipedia.org/wiki/Edward_Johnson,_III",https://www.fidelity.com/about-fidelity/our-heritage,,
2014,Prince Alwaleed Bin Talal Alsaud,30,Saudi Arabia,SAU,20.4,self-made,privatized and resources,male,58,Diversified financial,Financial,Middle East/North Africa,0,1,1,0,construction/real estate/banking,Kingdom Holding Company,new,founder,1980,,investments,member of Saudi Royal family,,http://www.kingdom.com.sa/about-us/history,"Murdoch's saviour: a rich prince Australian Financial Review December 23, 2004 Thursday",,
1996,Yasuo Takei,30,Japan,JPN,5.2,self-made,self-made finance,male,66,Money Management,Financial,East Asia,1,,1,0,finance,Takefuji,new,founder,,4.71E+12,,,,http://en.wikipedia.org/wiki/Yasuo_Takei,,,
