year,name,rank,citizenship,countrycode,networthusbillion,selfmade,typeofwealth,gender,age,industry,IndustryAggregates,region,north,politicalconnection,founder,generationofinheritance,sector,company,companytype,relationshiptocompany,foundingdate,gdpcurrentus,sourceofwealth,notes,notes2,source,source_2,source_3,source_4
2014,Alexei Kuzmichev,147,Russia,RUS,8.8,self-made,privatized and resources,male,51,Energy,Resource Related,Europe,0,,1,0,investment banking,Alfa Group,new,founder,1989,,"oil, banking, telecom",,,http://en.wikipedia.org/wiki/Alexey_Kuzmichev,http://www.forbes.com/profile/alexei-kuzmichev/,"A frosty relationship that failed to thaw; Basic disagreement between BP and its partner about the purpose of their Russian joint venture has led to the sale move, says Emily Gosden The Daily Telegraph (London) June 2, 2012 Saturday",
2014,Dmitry Rybolovlev,147,Russia,RUS,8.8,self-made,executive,male,47,Consumer,Traded Sectors,Europe,0,,0,0,fertilizer,Uralkali,aquired,owner,1930,,fertilizer,,,http://en.wikipedia.org/wiki/Dmitry_Rybolovlev,http://www.forbes.com/profile/dmitry-rybolovlev/,"A FAREWELL TO BILLIONS Ex-wife stripped of bulk of mega-award Daily News (New York) June 12, 2015 Friday",
2014,Elaine Marshall,147,United States,USA,8.8,inherited,inherited,female,71,Diversified financial,Financial,North America,1,,0,spouse or widow,  Oil refining,Koch industries,new,relation,1940,,diversified,widow,,http://www.forbes.com/profile/elaine-marshall/,,,
2014,Hasso Plattner,147,Germany,DEU,8.8,self-made,founder non-finance,male,70,Technology-Computer,New Sectors,Europe,1,,1,0,software,SAP AG,new,founder,1972,,software,,,http://en.wikipedia.org/wiki/Hasso_Plattner,http://www.sap.com/corporate-en/about/our-company/history/1972-1981.html,,
1996,Hisakazu Yamaguchi,147,Japan,JPN,2.4,inherited,inherited,male,0,"Retail, Restaurant",Non-Traded Sectors,East Asia,1,,0,inherited from father,cans,Daiwan Can,new,relation,1950,4.71E+12,,inherited from father,,http://www.forbes.com/forbes/1999/0705/6401160a.html,,,
2014,Thomas Peterffy,147,United States,USA,8.8,self-made,self-made finance,male,69,Money Management,Financial,North America,1,,1,0,stock brokerage,Interactive Brokers,new,"founder, chairman, ceo",1977,,discount brokerage,,,http://en.wikipedia.org/wiki/Interactive_Brokers,https://www.interactivebrokers.com/en/index.php?f=564,,
1996,Kanichiro Ishibashi,148,Japan,JPN,2.4,inherited,inherited,male,0,Mining and metals,Resource Related,East Asia,1,,0,inherited from father,tires,Bridgestone Corp,new,relation,1931,4.71E+12,,inherited from father,,http://www.forbes.com/lists/2012/73/japan-billionaires-12_Hiroshi-Ishibashi_J8MQ.html,http://www.bridgestonetire.com/about/who-we-are,,
1996,Andrew Gotianun,149,Philippines,PHL,2.4,self-made,self-made finance,male,0,Real Estate,Financial,East Asia,0,,1,0,real estate,Filinvest Development Corporation,new,founder,1955,82848194406,,,,http://en.wikipedia.org/wiki/Andrew_Gotianun,http://www.forbes.com/profile/andrew-gotianun/,"Second-hand car dealer discovers road to riches  THE AUSTRALIAN August 26, 1997, Tuesday",
1996,Anacleto Angelini,150,Chile,CHL,2.3,self-made,privatized and resources,male,82,Energy,Resource Related,Latin America,0,,1,0,mining,Angelini Group,new,founder,1955,7.58E+10,,,,http://en.wikipedia.org/wiki/Anacleto_Angelini,http://www.nytimes.com/2007/09/03/obituaries/03angelini.html?_r=0,,
2001,A Jerrold Perenchio,151,United States,USA,3,self-made,executive,male,70,Media,Non-Traded Sectors,North America,1,,0,0,media,Univision,aquired,former chairman and CEO,1955,1.06E+13,,represented Marlon Brando and Elizabeth Taylor,,http://en.wikipedia.org/wiki/Jerry_Perenchio,http://www.forbes.com/profile/a-jerrold-perenchio/,"COLUMN ONE; A Hollywood Player Who Owns the Game; A. Jerrold Perenchio has made billions with great instincts, an iron will and a very low profile. Now he's selling Univision -- his way. Los Angeles Times June 20, 2006 Tuesday",
1996,Dieter Schwarz,151,Germany,DEU,2.3,inherited,inherited,male,0,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,0,inherited from father,groceries,Schwarz Group,new,relation,1930,2.50E+12,,inherited from father,,http://www.forbes.com/profile/dieter-schwarz/,,,
2001,Emilio Azcarraga Jean,151,Mexico,MEX,3,inherited,inherited,male,33,Media,Non-Traded Sectors,Latin America,0,,0,inherited from father,media,Grupo Televisa,new,relation,1955,7.25E+11,,inherited from father,,http://en.wikipedia.org/wiki/Emilio_Azc%C3%A1rraga_Jean,http://en.wikipedia.org/wiki/Televisa,http://www.nytimes.com/1997/04/18/business/emilio-azcarraga-milmo-billionaire-who-ruled-mexican-broadcasting-is-dead-at-66.html,
2001,George Lucas,151,United States,USA,3,self-made,founder non-finance,male,56,Media,Non-Traded Sectors,North America,1,,1,0,Star Wars,Lucasfilm,new,founder,1971,1.06E+13,,,,http://en.wikipedia.org/wiki/George_Lucas,http://www.forbes.com/profile/george-lucas/?list=forbes-400,,
2001,Henry Hillman,151,United States,USA,3,inherited,inherited,male,82,Money Management,Financial,North America,1,,0,inherited from father,coal,Pittsburgh Coke & Chemical ,new,relation,1942,1.06E+13,,inherited from father,,http://www.forbes.com/profile/henry-hillman/,http://en.wikipedia.org/wiki/Calgon_Carbon,,
2001,Khoo Teck Puat,151,Singapore,SGP,3,self-made,self-made finance,male,84,Real Estate,Financial,East Asia,0,,1,0,banking,Malayan Banking,new,founder,1960,89285087395,,Khoo was ousted from Maybank by the Malaysian government under Deputy Prime Minister Tun Abdul Razak on the pretext of pumping the bank's money into his own private firm in Singapore,,http://en.wikipedia.org/wiki/Khoo_Teck_Puat,http://www.smh.com.au/articles/2004/04/07/1081326798707.html?from=storyrhs,,
2001,Mohammed Jameel,151,Saudi Arabia,SAU,3,inherited,inherited,male,,"Retail, Restaurant",Non-Traded Sectors,Middle East/North Africa,0,,0,inherited from father,auto dealerships,Abdul Latif Jameel Co. Ltd,new,relation,1945,1.83E+11,,inherited from father,,http://www.alj.com/,,,
